App,Device,Hive_Position,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight, Weight_Scale_Factor, Weight, WeightL, WeightLRaw, WeightR, WeightRRaw
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 1:43 PM,05/08/2020 9:43 AM,1588945393,92,false,100,90.13,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 2:04 PM,05/08/2020 10:04 AM,1588946647,93,false,100,90.46,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 2:25 PM,05/08/2020 10:25 AM,1588947901,94,false,100,90.36,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 2:46 PM,05/08/2020 10:46 AM,1588949167,99,false,100,90.77,41,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 3:25 PM,05/08/2020 11:25 AM,1588951514,100,false,100,90.84,42,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 4:04 PM,05/08/2020 12:04 PM,1588953861,101,false,100,91.00,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 4:43 PM,05/08/2020 12:43 PM,1588956208,102,false,100,89.42,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 5:22 PM,05/08/2020 1:22 PM,1588958555,103,false,100,90.26,36,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 6:01 PM,05/08/2020 2:01 PM,1588960907,107,false,100,89.88,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 6:36 PM,05/08/2020 2:36 PM,1588962971,108,false,100,89.85,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 7:10 PM,05/08/2020 3:10 PM,1588965035,109,false,100,89.65,37,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 7:44 PM,05/08/2020 3:44 PM,1588967099,110,false,100,89.54,37,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 8:19 PM,05/08/2020 4:19 PM,1588969163,111,false,100,88.80,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 8:53 PM,05/08/2020 4:53 PM,1588971227,113,false,100,89.54,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 9:28 PM,05/08/2020 5:28 PM,1588973297,117,false,100,89.46,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 9:57 PM,05/08/2020 5:57 PM,1588975079,118,false,100,89.46,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 10:27 PM,05/08/2020 6:27 PM,1588976861,119,false,100,89.26,37,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 10:57 PM,05/08/2020 6:57 PM,1588978647,123,false,100,90.41,41,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/08/2020 11:47 PM,05/08/2020 7:47 PM,1588981628,124,false,100,91.10,41,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 12:36 AM,05/08/2020 8:36 PM,1588984609,125,false,100,91.68,36,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 1:26 AM,05/08/2020 9:26 PM,1588987590,126,false,100,92.06,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 2:16 AM,05/08/2020 10:16 PM,1588990574,130,false,100,92.22,37,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 3:01 AM,05/08/2020 11:01 PM,1588993298,131,false,100,92.02,37,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 3:47 AM,05/08/2020 11:47 PM,1588996022,132,false,100,91.94,35,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 4:32 AM,05/09/2020 12:32 AM,1588998746,133,false,100,92.68,36,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 5:17 AM,05/09/2020 1:17 AM,1589001470,134,false,100,91.84,34,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 6:03 AM,05/09/2020 2:03 AM,1589004194,135,false,100,92.50,36,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 6:48 AM,05/09/2020 2:48 AM,1589006918,136,false,100,93.01,35,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 7:34 AM,05/09/2020 3:34 AM,1589009642,137,false,100,92.10,36,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 8:19 AM,05/09/2020 4:19 AM,1589012366,138,false,100,91.46,32,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 9:04 AM,05/09/2020 5:04 AM,1589015090,139,false,100,92.30,37,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 9:50 AM,05/09/2020 5:50 AM,1589017814,140,false,100,92.35,43,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 10:35 AM,05/09/2020 6:35 AM,1589020546,144,false,100,92.32,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 11:15 AM,05/09/2020 7:15 AM,1589022911,145,false,100,92.30,39,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 11:54 AM,05/09/2020 7:54 AM,1589025276,146,false,100,91.25,42,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 12:34 PM,05/09/2020 8:34 AM,1589027641,147,false,100,90.56,37,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 1:13 PM,05/09/2020 9:13 AM,1589030006,148,false,100,90.30,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 1:52 PM,05/09/2020 9:52 AM,1589032377,152,false,100,89.57,33,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 2:31 PM,05/09/2020 10:31 AM,1589034670,153,false,100,89.67,34,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 3:09 PM,05/09/2020 11:09 AM,1589036963,154,false,100,91.12,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 3:47 PM,05/09/2020 11:47 AM,1589039256,155,false,100,91.96,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 4:25 PM,05/09/2020 12:25 PM,1589041549,156,false,100,91.20,41,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 5:04 PM,05/09/2020 1:04 PM,1589043848,160,false,100,91.15,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 5:48 PM,05/09/2020 1:48 PM,1589046481,161,false,100,91.17,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 6:31 PM,05/09/2020 2:31 PM,1589049114,162,false,100,90.03,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 7:15 PM,05/09/2020 3:15 PM,1589051747,163,false,100,90.74,36,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 7:59 PM,05/09/2020 3:59 PM,1589054380,164,false,100,91.41,40,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 8:43 PM,05/09/2020 4:43 PM,1589057013,165,false,100,90.56,36,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 9:27 PM,05/09/2020 5:27 PM,1589059646,166,false,100,91.20,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 10:11 PM,05/09/2020 6:11 PM,1589062290,170,false,100,91.25,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 10:38 PM,05/09/2020 6:38 PM,1589063922,171,false,100,91.36,38,,,,,,,
BMAPP,42:1B:95,Above Lower Brood Box,Logged_Data,1589067302,05/09/2020 11:05 PM,05/09/2020 7:05 PM,1589065554,172,false,100,89.88,38,,,,,,,
